02:49:45 === monitor start | follow_rotation=True interval=60.0s max=150.0min | cookie_len=1377 ===
02:49:45 [+  0.0m] #1 http=200 token=Y err=None ATE=03:48:00(in +58.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:50:46 [+  1.0m] #2 http=200 token=Y err=None ATE=03:48:00(in +57.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:51:46 [+  2.0m] #3 http=200 token=Y err=None ATE=03:48:00(in +56.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:52:46 [+  3.0m] #4 http=200 token=Y err=None ATE=03:48:00(in +55.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:53:46 [+  4.0m] #5 http=200 token=Y err=None ATE=03:48:00(in +54.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:54:47 [+  5.0m] #6 http=200 token=Y err=None ATE=03:48:00(in +53.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:55:47 [+  6.0m] #7 http=200 token=Y err=None ATE=03:48:00(in +52.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:56:47 [+  7.0m] #8 http=200 token=Y err=None ATE=03:48:00(in +51.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:57:47 [+  8.0m] #9 http=200 token=Y err=None ATE=03:48:00(in +50.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:58:47 [+  9.0m] #10 http=200 token=Y err=None ATE=03:48:00(in +49.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
02:59:48 [+ 10.0m] #11 http=200 token=Y err=None ATE=03:48:00(in +48.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:00:48 [+ 11.0m] #12 http=200 token=Y err=None ATE=03:48:00(in +47.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:01:48 [+ 12.0m] #13 http=200 token=Y err=None ATE=03:48:00(in +46.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:02:48 [+ 13.1m] #14 http=200 token=Y err=None ATE=03:48:00(in +45.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:03:49 [+ 14.1m] #15 http=200 token=Y err=None ATE=03:48:00(in +44.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:04:49 [+ 15.1m] #16 http=200 token=Y err=None ATE=03:48:00(in +43.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:05:49 [+ 16.1m] #17 http=200 token=Y err=None ATE=03:48:00(in +42.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:06:49 [+ 17.1m] #18 http=200 token=Y err=None ATE=03:48:00(in +41.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:07:49 [+ 18.1m] #19 http=200 token=Y err=None ATE=03:48:00(in +40.2m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:38:36 === monitor start | follow_rotation=True interval=60.0s max=120.0min | cookie_len=1377 ===
03:38:36 [+  0.0m] #1 http=200 token=Y err=None ATE=03:48:00(in +9.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:39:37 [+  1.0m] #2 http=200 token=Y err=None ATE=03:48:00(in +8.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:40:37 [+  2.0m] #3 http=200 token=Y err=None ATE=03:48:00(in +7.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:41:37 [+  3.0m] #4 http=200 token=Y err=None ATE=03:48:00(in +6.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:42:37 [+  4.0m] #5 http=200 token=Y err=None ATE=03:48:00(in +5.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:43:37 [+  5.0m] #6 http=200 token=Y err=None ATE=03:48:00(in +4.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:44:38 [+  6.0m] #7 http=200 token=Y err=None ATE=03:48:00(in +3.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:45:38 [+  7.0m] #8 http=200 token=Y err=None ATE=03:48:00(in +2.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:46:38 [+  8.0m] #9 http=200 token=Y err=None ATE=03:48:00(in +1.4m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:47:38 [+  9.0m] #10 http=200 token=Y err=None ATE=04:47:39(in +60.0m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:48:39 [+ 10.0m] #11 http=200 token=Y err=None ATE=04:47:39(in +59.0m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
03:49:39 [+ 11.0m] #12 http=200 token=Y err=None ATE=04:47:39(in +58.0m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
