13:34:36 === monitor start | follow_rotation=False interval=60.0s max=90.0min | cookie_len=1377 ===
13:34:37 [+  0.0m] #1 http=200 token=Y err=None ATE=14:34:16(in +59.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:35:37 [+  1.0m] #2 http=200 token=Y err=None ATE=14:34:16(in +58.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:36:37 [+  2.0m] #3 http=200 token=Y err=None ATE=14:34:16(in +57.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:37:37 [+  3.0m] #4 http=200 token=Y err=None ATE=14:34:16(in +56.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:38:37 [+  4.0m] #5 http=200 token=Y err=None ATE=14:34:16(in +55.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:39:38 [+  5.0m] #6 http=200 token=Y err=None ATE=14:34:16(in +54.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:40:38 [+  6.0m] #7 http=200 token=Y err=None ATE=14:34:16(in +53.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:41:38 [+  7.0m] #8 http=200 token=Y err=None ATE=14:34:16(in +52.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:42:38 [+  8.0m] #9 http=200 token=Y err=None ATE=14:34:16(in +51.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:43:39 [+  9.0m] #10 http=200 token=Y err=None ATE=14:34:16(in +50.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:44:39 [+ 10.0m] #11 http=200 token=Y err=None ATE=14:34:16(in +49.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:45:39 [+ 11.0m] #12 http=200 token=Y err=None ATE=14:34:16(in +48.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:46:39 [+ 12.0m] #13 http=200 token=Y err=None ATE=14:34:16(in +47.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:47:40 [+ 13.1m] #14 http=200 token=Y err=None ATE=14:34:16(in +46.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:48:40 [+ 14.1m] #15 http=200 token=Y err=None ATE=14:34:16(in +45.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:49:40 [+ 15.1m] #16 http=200 token=Y err=None ATE=14:34:16(in +44.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:50:40 [+ 16.1m] #17 http=200 token=Y err=None ATE=14:34:16(in +43.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:51:41 [+ 17.1m] #18 http=200 token=Y err=None ATE=14:34:16(in +42.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:52:41 [+ 18.1m] #19 http=200 token=Y err=None ATE=14:34:16(in +41.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:53:41 [+ 19.1m] #20 http=200 token=Y err=None ATE=14:34:16(in +40.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:54:41 [+ 20.1m] #21 http=200 token=Y err=None ATE=14:34:16(in +39.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:55:41 [+ 21.1m] #22 http=200 token=Y err=None ATE=14:34:16(in +38.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:56:42 [+ 22.1m] #23 http=200 token=Y err=None ATE=14:34:16(in +37.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:57:42 [+ 23.1m] #24 http=200 token=Y err=None ATE=14:34:16(in +36.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:58:42 [+ 24.1m] #25 http=200 token=Y err=None ATE=14:34:16(in +35.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
13:59:42 [+ 25.1m] #26 http=200 token=Y err=None ATE=14:34:16(in +34.6m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:00:43 [+ 26.1m] #27 http=200 token=Y err=None ATE=14:34:16(in +33.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:01:43 [+ 27.1m] #28 http=200 token=Y err=None ATE=14:34:16(in +32.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:02:43 [+ 28.1m] #29 http=200 token=Y err=None ATE=14:34:16(in +31.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:03:43 [+ 29.1m] #30 http=200 token=Y err=None ATE=14:34:16(in +30.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:04:44 [+ 30.1m] #31 http=200 token=Y err=None ATE=14:34:16(in +29.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:05:44 [+ 31.1m] #32 http=200 token=Y err=None ATE=14:34:16(in +28.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:06:44 [+ 32.1m] #33 http=200 token=Y err=None ATE=14:34:16(in +27.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:07:44 [+ 33.1m] #34 http=200 token=Y err=None ATE=14:34:16(in +26.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:08:44 [+ 34.1m] #35 http=200 token=Y err=None ATE=14:34:16(in +25.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:09:45 [+ 35.1m] #36 http=200 token=Y err=None ATE=14:34:16(in +24.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:10:45 [+ 36.1m] #37 http=200 token=Y err=None ATE=14:34:16(in +23.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:11:45 [+ 37.1m] #38 http=200 token=Y err=None ATE=14:34:16(in +22.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:12:45 [+ 38.1m] #39 http=200 token=Y err=None ATE=14:34:16(in +21.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:13:46 [+ 39.2m] #40 http=200 token=Y err=None ATE=14:34:16(in +20.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:14:46 [+ 40.2m] #41 http=200 token=Y err=None ATE=14:34:16(in +19.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:15:46 [+ 41.2m] #42 http=200 token=Y err=None ATE=14:34:16(in +18.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:16:46 [+ 42.2m] #43 http=200 token=Y err=None ATE=14:34:16(in +17.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:17:47 [+ 43.2m] #44 http=200 token=Y err=None ATE=14:34:16(in +16.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:18:47 [+ 44.2m] #45 http=200 token=Y err=None ATE=14:34:16(in +15.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:19:47 [+ 45.2m] #46 http=200 token=Y err=None ATE=14:34:16(in +14.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:20:47 [+ 46.2m] #47 http=200 token=Y err=None ATE=14:34:16(in +13.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:21:48 [+ 47.2m] #48 http=200 token=Y err=None ATE=14:34:16(in +12.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:22:48 [+ 48.2m] #49 http=200 token=Y err=None ATE=14:34:16(in +11.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:23:48 [+ 49.2m] #50 http=200 token=Y err=None ATE=14:34:16(in +10.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
14:24:48 [+ 50.2m] #51 http=200 token=Y err=None ATE=14:34:16(in +9.5m) keys=['accessToken', 'accessTokenExpiresAt', 'expires', 'user'] rot(len=1377,changed=True)
